date,year,month,day,hour,minutes,second,IL,IU,IE,la_IL,lo_IL,la_IU,lo_IU
2024-04-07 00:00:00,2024,4,7,0,4,0,-115.6,49.9,165.5,71.09,25.79,78.92,11.95
2024-04-07 00:05:00,2024,4,7,0,9,0,-102.5,53.3,155.8,71.09,25.79,78.92,11.95
2024-04-07 00:10:00,2024,4,7,0,14,0,-94.7,50.6,145.3,71.09,25.79,78.92,11.95
2024-04-07 00:15:00,2024,4,7,0,19,0,-98.5,45.3,143.8,71.09,25.79,78.92,11.95
2024-04-07 00:20:00,2024,4,7,0,24,0,-104.8,43.9,148.7,71.09,25.79,77.0,15.6
2024-04-07 00:25:00,2024,4,7,0,29,0,-66.9,45.3,112.2,71.09,25.79,77.0,15.6
2024-04-07 00:30:00,2024,4,7,0,34,0,-37.0,46.4,83.4,71.09,25.79,77.0,15.6
2024-04-07 00:35:00,2024,4,7,0,39,0,-12.5,62.1,74.6,53.74,9.07,76.51,25.01
2024-04-07 00:40:00,2024,4,7,0,44,0,-11.1,77.0,88.1,53.74,9.07,76.51,25.01
2024-04-07 00:45:00,2024,4,7,0,49,0,-9.3,77.7,87.0,53.74,9.07,76.51,25.01
2024-04-07 00:50:00,2024,4,7,0,54,0,-8.1,85.1,93.2,53.74,9.07,76.51,25.01
2024-04-07 00:55:00,2024,4,7,0,59,0,-7.3,80.9,88.2,53.74,9.07,76.51,25.01
2024-04-07 01:00:00,2024,4,7,1,4,0,-9.9,63.9,73.8,71.09,25.79,70.93,51.3
2024-04-07 01:05:00,2024,4,7,1,9,0,-15.6,51.6,67.2,71.09,25.79,76.51,25.01
2024-04-07 01:10:00,2024,4,7,1,14,0,-10.6,54.9,65.5,53.74,9.07,76.51,25.01
2024-04-07 01:15:00,2024,4,7,1,19,0,-10.5,58.8,69.3,53.74,9.07,76.51,25.01
2024-04-07 01:20:00,2024,4,7,1,24,0,-10.1,63.5,73.6,53.74,9.07,76.51,25.01
2024-04-07 01:25:00,2024,4,7,1,29,0,-8.9,64.7,73.6,53.74,9.07,70.93,51.3
2024-04-07 01:30:00,2024,4,7,1,34,0,-8.1,80.2,88.3,53.74,9.07,70.93,51.3
2024-04-07 01:35:00,2024,4,7,1,39,0,-7.2,75.9,83.1,53.74,9.07,76.51,25.01
2024-04-07 01:40:00,2024,4,7,1,44,0,-6.7,82.1,88.8,53.74,9.07,76.51,25.01
2024-04-07 01:45:00,2024,4,7,1,49,0,-6.4,98.0,104.4,53.74,9.07,70.93,51.3
2024-04-07 01:50:00,2024,4,7,1,54,0,-4.8,96.2,101.0,53.74,9.07,76.51,25.01
2024-04-07 01:55:00,2024,4,7,1,59,0,-5.2,108.8,114.0,53.74,9.07,70.93,51.3
2024-04-07 02:00:00,2024,4,7,2,4,0,-12.0,99.7,111.7,71.09,25.79,70.93,51.3
2024-04-07 02:05:00,2024,4,7,2,9,0,-16.7,76.6,93.3,71.09,25.79,70.93,51.3
2024-04-07 02:10:00,2024,4,7,2,14,0,-5.7,74.0,79.7,53.74,9.07,70.93,51.3
2024-04-07 02:15:00,2024,4,7,2,19,0,-6.2,69.2,75.4,53.74,9.07,70.93,51.3
2024-04-07 02:20:00,2024,4,7,2,24,0,-5.3,77.0,82.3,53.74,9.07,70.93,51.3
2024-04-07 02:25:00,2024,4,7,2,29,0,-5.9,73.6,79.5,53.74,9.07,77.0,15.6
2024-04-07 02:30:00,2024,4,7,2,34,0,-4.3,70.0,74.3,53.74,9.07,70.93,51.3
2024-04-07 02:35:00,2024,4,7,2,39,0,-5.0,58.1,63.1,53.74,9.07,76.51,25.01
