id,pubid,product,date,cvalue,activity,day
35189856,28fe2437-0d61-442d-bbb9-d21316e09500,gnss,2021-05-15 00:00:30,0.322,LOW,2021-05-15
35189858,a4798fd6-21f0-4db5-a9b5-3cb0670c9dc6,gnss,2021-05-15 00:05:30,0.302,LOW,2021-05-15
35189860,9c2e33f9-3d46-48f5-9be4-86373c17dcc6,gnss,2021-05-15 00:10:30,0.267,LOW,2021-05-15
35189869,e9c5e817-06bc-4731-b0be-4bace06c8dc9,gnss,2021-05-15 00:15:30,0.697,LOW,2021-05-15
35189881,30e8214d-f128-4f42-aea8-7e66e339e7ca,gnss,2021-05-15 00:20:30,0.9,LOW,2021-05-15
35189901,3c853fa0-6201-4bcb-8108-50cf07e59f8f,gnss,2021-05-15 00:25:30,0.543,LOW,2021-05-15
35189913,dbfdf7b8-712b-476e-b07d-a5036ed8d2ee,gnss,2021-05-15 00:30:30,1.361,MEDIUM,2021-05-15
35189941,ae75dcae-1696-4d20-bf23-69738dd3583b,gnss,2021-05-15 00:35:30,0.436,LOW,2021-05-15
35189957,39815f9f-8bab-41f3-9f1a-3d26b829b3d7,gnss,2021-05-15 00:40:30,0.484,LOW,2021-05-15
35189993,a464714c-4105-4a17-a98e-d92b446f3dd9,gnss,2021-05-15 00:45:30,0.705,LOW,2021-05-15
35190033,75d1599f-95c4-4b3a-b1b0-dc1e02e86715,gnss,2021-05-15 00:50:30,0.695,LOW,2021-05-15
35190057,7d5c331f-28c3-4023-9544-b5fe62586b09,gnss,2021-05-15 00:55:30,0.562,LOW,2021-05-15
35190105,d4210a44-878f-47be-9352-6df250bd1cb6,gnss,2021-05-15 01:00:30,0.468,LOW,2021-05-15
35190131,cfe03a5e-bfad-4317-92b6-f8db7f5e0d16,gnss,2021-05-15 01:05:30,0.402,LOW,2021-05-15
35190187,88a5b68f-577d-4a45-a776-e78db1863449,gnss,2021-05-15 01:10:30,0.332,LOW,2021-05-15
35190217,015eb8f8-bf5c-44e2-88d4-fa7130aa2f0a,gnss,2021-05-15 01:15:30,0.426,LOW,2021-05-15
35190281,bbbff412-c077-408d-b5e8-e33f7300bd4e,gnss,2021-05-15 01:20:30,0.418,LOW,2021-05-15
35190349,db94c493-ba96-4c3c-b415-6cfed405b9c4,gnss,2021-05-15 01:25:30,0.456,LOW,2021-05-15
35190387,7766d52d-085f-4515-a71c-fb315edc7d2f,gnss,2021-05-15 01:30:30,0.498,LOW,2021-05-15
35190426,1fa315c8-5c67-4ca7-a91f-37982352bf0d,gnss,2021-05-15 01:35:30,0.526,LOW,2021-05-15
35190506,428f7ea2-1184-4a8a-acb1-3724973d8937,gnss,2021-05-15 01:40:30,0.584,LOW,2021-05-15
35190590,3839d4a4-c9e6-4c97-a14f-4e9423a7c6ed,gnss,2021-05-15 01:45:30,0.571,LOW,2021-05-15
35190635,2da31bfa-d030-47d1-b101-34c15019888d,gnss,2021-05-15 01:50:30,0.597,LOW,2021-05-15
35190705,10fdb1c0-3e61-49dd-bae5-f39735a6f089,gnss,2021-05-15 01:55:30,0.621,LOW,2021-05-15
35190753,515d0cb2-a51b-48ef-85da-37395ae499b2,gnss,2021-05-15 02:00:30,0.635,LOW,2021-05-15
35190854,a98726cb-572c-4818-badd-07a0a9fed18c,gnss,2021-05-15 02:05:30,0.451,LOW,2021-05-15
35190958,7fd89bc5-12ab-4cff-89e9-30ffa81ceac2,gnss,2021-05-15 02:10:30,0.469,LOW,2021-05-15
35191014,ecfe4869-2417-4d26-be86-3b0c9bd86ac3,gnss,2021-05-15 02:15:30,0.416,LOW,2021-05-15
35191127,41984c09-7521-4c9d-b3d1-21853b8d2a65,gnss,2021-05-15 02:20:30,0.439,LOW,2021-05-15
35191187,c50513a9-85db-4b3f-97e8-d5d46abb7fb4,gnss,2021-05-15 02:25:30,0.419,LOW,2021-05-15
35191308,02b1fece-833f-4e14-b66a-45a6484aa82e,gnss,2021-05-15 02:30:30,0.447,LOW,2021-05-15
35191372,32bb5171-a8c6-4280-8f33-b96bd1fd20ee,gnss,2021-05-15 02:35:30,0.561,LOW,2021-05-15
35191500,f26217ab-e2bd-4c0e-b560-ef9538ad2c34,gnss,2021-05-15 02:40:30,0.689,LOW,2021-05-15
35191633,5631644f-bb59-416c-aab1-22339110cac1,gnss,2021-05-15 02:45:30,0.856,LOW,2021-05-15
35191703,4966435b-d86b-4c2a-8b09-d5bdedc8e828,gnss,2021-05-15 02:50:30,0.859,LOW,2021-05-15
35191773,515e5254-f936-4474-b6f6-2accc98e95af,gnss,2021-05-15 02:55:30,0.841,LOW,2021-05-15
35191918,467ecc94-e5d1-4868-b05b-21358c44a4b8,gnss,2021-05-15 03:00:30,0.731,LOW,2021-05-15
35191992,a0165cda-e403-4ce4-8965-23ae68704289,gnss,2021-05-15 03:05:30,0.676,LOW,2021-05-15
35192144,34e3eb9f-11b7-4201-8225-115251ec2dae,gnss,2021-05-15 03:10:30,0.632,LOW,2021-05-15
35192222,7a81bd3e-d0e0-469e-8e02-432b2b805c6e,gnss,2021-05-15 03:15:30,0.56,LOW,2021-05-15
35192383,92c09cf8-9c6d-4e21-adcd-45ef8d41d372,gnss,2021-05-15 03:20:30,0.514,LOW,2021-05-15
35192465,5357aa77-d785-496d-937b-e93d32535874,gnss,2021-05-15 03:25:30,0.433,LOW,2021-05-15
35192634,829998de-5733-4b06-8e8f-1e160bf77ee1,gnss,2021-05-15 03:30:30,0.429,LOW,2021-05-15
35192720,b5094832-2769-41ac-ab7d-72d32d624a53,gnss,2021-05-15 03:35:30,0.436,LOW,2021-05-15
35192896,3ce58519-2197-4486-b268-67b68dbbc7fe,gnss,2021-05-15 03:40:30,0.443,LOW,2021-05-15
35192986,dcb30613-1061-4afa-a25e-f172b6f614d1,gnss,2021-05-15 03:45:30,0.452,LOW,2021-05-15
35193171,aa3ed37c-d2b0-4504-b8c3-9c8c14895db8,gnss,2021-05-15 03:50:30,0.468,LOW,2021-05-15
35193219,4581fa24-5aa5-4f9c-8ceb-d76c7690cd49,gnss,2021-05-15 03:55:30,0.502,LOW,2021-05-15
35193412,c48ea534-4f42-49b7-a943-245683fbd7e8,gnss,2021-05-15 04:00:30,0.55,LOW,2021-05-15
35193559,1a8b46c7-dae7-41ad-bba0-0c6a5006a5f9,gnss,2021-05-15 04:05:30,0.563,LOW,2021-05-15
35193710,5f31eb6b-759d-4636-a901-635ea6fdad2a,gnss,2021-05-15 04:10:30,0.608,LOW,2021-05-15
35193812,c615ad24-fd2b-4e05-b33f-3f23e4975cdb,gnss,2021-05-15 04:15:30,0.629,LOW,2021-05-15
35194021,022fc1fb-626c-4818-afdd-428dfa112936,gnss,2021-05-15 04:20:30,0.645,LOW,2021-05-15
35194127,57604cfc-69c5-4c60-8105-5cf491db2ae7,gnss,2021-05-15 04:25:30,0.637,LOW,2021-05-15
35194344,2a853ae4-66da-4f0e-a076-a05a3aa6b03f,gnss,2021-05-15 04:30:30,0.624,LOW,2021-05-15
35194454,8d0b435a-fc75-4607-8cc4-bef79f145adc,gnss,2021-05-15 04:35:30,0.627,LOW,2021-05-15
35194678,97d62d92-8bcf-450e-859b-d05d0aa5c831,gnss,2021-05-15 04:40:30,0.588,LOW,2021-05-15
35194792,1eb96036-5baa-4e1a-8bd6-1a88e477e147,gnss,2021-05-15 04:45:30,0.615,LOW,2021-05-15
35195025,b4dc63c3-2397-409b-a398-6617f054ca2d,gnss,2021-05-15 04:50:30,0.626,LOW,2021-05-15
35195143,10bb3c5b-9324-4806-a76c-4fd92e2bfd7f,gnss,2021-05-15 04:55:30,0.603,LOW,2021-05-15
35195384,3ce49734-7a4d-41e2-8e71-31553492d6ae,gnss,2021-05-15 05:00:30,0.642,LOW,2021-05-15
35195446,03eb2e6a-c2ff-4315-8e03-e6ef8f941bde,gnss,2021-05-15 05:05:30,0.576,LOW,2021-05-15
35195694,d3da1289-5306-4dfd-9d9b-b046497c8bc5,gnss,2021-05-15 05:10:30,0.553,LOW,2021-05-15
35195820,cf372a25-2f4c-4d1b-8ef4-3d267c95911c,gnss,2021-05-15 05:15:30,0.473,LOW,2021-05-15
35196077,33742cbb-de8c-4735-ae23-4ae42610a45b,gnss,2021-05-15 05:20:30,0.539,LOW,2021-05-15
35196207,64b3e224-3b04-40da-b9e6-6720671aeba0,gnss,2021-05-15 05:25:30,0.535,LOW,2021-05-15
35196471,9fb7a7ad-fe81-4ed9-8dfd-0c1efe8f92ec,gnss,2021-05-15 05:30:30,0.545,LOW,2021-05-15
35196673,952d2e1d-57fd-421d-8a08-388f3be0e0b4,gnss,2021-05-15 05:35:30,0.686,LOW,2021-05-15
35196878,ee69863a-cd12-4959-bee4-88a95b5f65c7,gnss,2021-05-15 05:40:30,0.583,LOW,2021-05-15
35197016,dfa89d20-4446-447a-b481-94015d37622b,gnss,2021-05-15 05:45:30,0.564,LOW,2021-05-15
35197297,5901bd12-b121-463b-a04d-53777ef14e53,gnss,2021-05-15 05:50:30,0.583,LOW,2021-05-15
35197439,d4916e58-6130-4cf7-a746-3fdc46541953,gnss,2021-05-15 05:55:30,0.569,LOW,2021-05-15
35197728,7ef596f3-db9a-4055-9fad-48da7c7ab066,gnss,2021-05-15 06:00:30,0.576,LOW,2021-05-15
35197874,8b745135-a9d9-4014-8899-09437d56101f,gnss,2021-05-15 06:05:30,0.574,LOW,2021-05-15
35198170,813dc08f-fa2b-408d-a2d7-2790cf25ec82,gnss,2021-05-15 06:10:30,0.589,LOW,2021-05-15
35198320,299eb114-cf45-42d1-adb9-fe353ff7aa61,gnss,2021-05-15 06:15:30,0.592,LOW,2021-05-15
35198625,82135ad3-d13b-4d73-a127-cadf038bf5aa,gnss,2021-05-15 06:20:30,0.596,LOW,2021-05-15
35198781,36c3922f-d938-4f93-9f83-f5f511efee24,gnss,2021-05-15 06:25:30,0.532,LOW,2021-05-15
35199094,357a819f-4f73-4c3f-a413-8145613127ba,gnss,2021-05-15 06:30:30,0.471,LOW,2021-05-15
35199254,0ca5ca26-65b5-4550-b5d9-33e2a6b96963,gnss,2021-05-15 06:35:30,0.481,LOW,2021-05-15
35199574,2079ce24-441b-4d11-8d51-c51c4f38dccd,gnss,2021-05-15 06:40:30,0.584,LOW,2021-05-15
35199738,e14746d1-f218-44d1-9e75-3ae728e707f6,gnss,2021-05-15 06:45:30,0.516,LOW,2021-05-15
35200067,074cb2a1-e677-44a8-87ce-020170e77d13,gnss,2021-05-15 06:50:30,0.506,LOW,2021-05-15
35200235,dfd2aa69-9163-4f06-9427-62b6020b3ff6,gnss,2021-05-15 06:55:30,0.92,LOW,2021-05-15
35200488,27efcac0-6a5b-414b-9cc4-3eb3a36e981a,gnss,2021-05-15 07:00:30,0.561,LOW,2021-05-15
35200744,d4761783-e15a-4d13-b61f-94075024cb99,gnss,2021-05-15 07:05:30,0.595,LOW,2021-05-15
35200916,5e1ee9fe-79c3-4aaa-8ec3-218e4031c32e,gnss,2021-05-15 07:10:30,0.538,LOW,2021-05-15
35201177,6fc47bdc-e7c8-4313-82ce-c9439a53fd2d,gnss,2021-05-15 07:15:30,0.529,LOW,2021-05-15
35201442,e3c5aaa5-aefb-4a01-892e-faff4b0867e8,gnss,2021-05-15 07:20:30,0.6,LOW,2021-05-15
35201709,9044d2e2-4544-480a-9d2f-68b4e66a4917,gnss,2021-05-15 07:25:30,0.673,LOW,2021-05-15
35201981,89d71f12-44a7-449b-9b0e-efbeed936873,gnss,2021-05-15 07:30:30,0.618,LOW,2021-05-15
35202163,df8843db-0dd9-43dc-b5fb-4e4767894880,gnss,2021-05-15 07:35:30,0.617,LOW,2021-05-15
35202531,11573695-9c2d-4dcc-80cf-1b977b14ed13,gnss,2021-05-15 07:40:30,0.623,LOW,2021-05-15
35202717,c6b1a1f2-5372-473a-ae09-05a87b402a28,gnss,2021-05-15 07:45:30,0.711,LOW,2021-05-15
35203283,06952588-f974-481f-950b-b6000d7d51e8,gnss,2021-05-15 07:50:30,0.57,LOW,2021-05-15
35203284,2ccf0c6a-a055-4121-ba6c-27fbcb0ee7da,gnss,2021-05-15 07:55:30,0.611,LOW,2021-05-15
35203669,baca2f2e-134d-4528-bdcf-e7095347c095,gnss,2021-05-15 08:00:30,0.606,LOW,2021-05-15
35203864,a1dbaf98-77eb-4865-9f9e-f53da79e041e,gnss,2021-05-15 08:05:30,0.604,LOW,2021-05-15
35204158,d3ee7b4d-f259-46ad-84ce-6ecc0689592c,gnss,2021-05-15 08:10:30,0.617,LOW,2021-05-15
35204358,c6387775-baab-49e3-8f2a-90867927e780,gnss,2021-05-15 08:15:30,0.632,LOW,2021-05-15
35204759,2b2b0d2a-fb2e-465e-b358-0d2196846b3b,gnss,2021-05-15 08:20:30,0.587,LOW,2021-05-15
35204963,515a55fd-561e-420d-917f-1676f32e2a34,gnss,2021-05-15 08:25:30,0.75,LOW,2021-05-15
35205270,e49aafe2-075b-434c-80c9-bbaf2486d4c5,gnss,2021-05-15 08:30:30,0.677,LOW,2021-05-15
35205580,b4ae66db-7c88-4da2-b8bc-d6b678138f4e,gnss,2021-05-15 08:35:30,0.573,LOW,2021-05-15
35205788,8eda128a-bf50-4d59-84ef-34a6a8e55ac7,gnss,2021-05-15 08:40:30,0.549,LOW,2021-05-15
35206102,fe9c25d4-d535-4428-8844-f527e5d0267d,gnss,2021-05-15 08:45:30,0.529,LOW,2021-05-15
35206315,04b0e522-d273-4848-a738-1b0b223c5e01,gnss,2021-05-15 08:50:30,0.513,LOW,2021-05-15
35206636,f60d2712-3f98-4d3e-bb73-1a3237f07d50,gnss,2021-05-15 08:55:30,0.65,LOW,2021-05-15
35206962,99eed35d-ea5e-4188-9437-2f0084cd3641,gnss,2021-05-15 09:00:30,0.457,LOW,2021-05-15
35207398,b1ff61e0-bfa9-4362-9d34-d3a9af891f87,gnss,2021-05-15 09:05:30,0.415,LOW,2021-05-15
35207619,9f12df5f-6229-4497-8a97-47cb6135e58e,gnss,2021-05-15 09:10:30,0.449,LOW,2021-05-15
35207841,41658a30-a362-4a28-98df-51ba42a69242,gnss,2021-05-15 09:15:30,0.844,LOW,2021-05-15
35208290,bd73bf0c-9194-4fe1-a09f-e71efce21740,gnss,2021-05-15 09:20:30,0.895,LOW,2021-05-15
35208516,8fa9bdc3-2226-4631-b5c9-ccf2cbce85b9,gnss,2021-05-15 09:25:30,0.85,LOW,2021-05-15
35208973,5cf8c603-1ce0-47e0-ad06-88d27a5e79ed,gnss,2021-05-15 09:30:30,0.709,LOW,2021-05-15
35209205,55cf369e-29f1-48a7-8654-06d0e37de770,gnss,2021-05-15 09:35:30,0.711,LOW,2021-05-15
35209553,c641f4d5-498a-4a2f-8364-5256503b1fba,gnss,2021-05-15 09:40:30,0.672,LOW,2021-05-15
35209905,2af6a68f-362b-46ff-86da-74e336fde16f,gnss,2021-05-15 09:45:30,0.748,LOW,2021-05-15
35210378,5a2b5537-2686-450b-bd65-364e570675fd,gnss,2021-05-15 09:50:30,0.688,LOW,2021-05-15
35210618,5fc55417-c63c-4532-8627-6fc11d2fe16d,gnss,2021-05-15 09:55:30,0.65,LOW,2021-05-15
35210859,e94adbc0-8f35-4385-aab3-3b645abf8b4c,gnss,2021-05-15 10:00:30,0.635,LOW,2021-05-15
35211101,97164a8f-7dc8-4a5e-909c-c3ed464d0732,gnss,2021-05-15 10:05:30,0.603,LOW,2021-05-15
35211588,ccc9df80-ad1e-47c4-9179-4362128dcb8d,gnss,2021-05-15 10:10:30,0.539,LOW,2021-05-15
35211834,4b16e121-14dd-4df2-b9ff-396c0ac3c833,gnss,2021-05-15 10:15:30,0.621,LOW,2021-05-15
35212332,2d3f1972-dd43-416d-829e-1bbaf8335598,gnss,2021-05-15 10:20:30,0.583,LOW,2021-05-15
35212582,08a5d398-be5e-47f4-8964-502bcbc9618c,gnss,2021-05-15 10:25:30,0.581,LOW,2021-05-15
35213087,5977828f-34a8-4292-b2e7-555718836a74,gnss,2021-05-15 10:30:30,0.648,LOW,2021-05-15
35213343,073daaa4-1745-4015-ad10-aaab6bdff8fb,gnss,2021-05-15 10:35:30,0.613,LOW,2021-05-15
35213855,905fd93f-8647-4047-8240-57a38f9e5238,gnss,2021-05-15 10:40:30,0.801,LOW,2021-05-15
35214115,9b924465-fa63-475f-a46b-65537b9e1ab3,gnss,2021-05-15 10:45:30,0.69,LOW,2021-05-15
35214506,6bbc1199-493e-4af6-a48a-4542fd716a99,gnss,2021-05-15 10:50:30,1.089,LOW,2021-05-15
35214769,ce20648d-1942-4a62-a987-a80ffef48b05,gnss,2021-05-15 10:55:30,1.284,MEDIUM,2021-05-15
35215167,e046a6ba-0718-49a6-b617-a052878cab9f,gnss,2021-05-15 11:00:30,0.822,LOW,2021-05-15
35215433,81ff279a-af46-486e-82b7-e50f0a171edb,gnss,2021-05-15 11:05:30,0.868,LOW,2021-05-15
35215969,a702c6f4-de49-4d63-ab7b-7987cc14db70,gnss,2021-05-15 11:10:30,0.873,LOW,2021-05-15
35216240,897432f8-b5ff-47e1-ada5-db842672b8fe,gnss,2021-05-15 11:15:30,0.907,LOW,2021-05-15
35216649,8abf993e-2167-4b03-b5e1-8e618de22a39,gnss,2021-05-15 11:20:30,0.881,LOW,2021-05-15
35217061,28b414b8-4a7f-413d-a737-aed83bb3c89c,gnss,2021-05-15 11:25:30,0.83,LOW,2021-05-15
35217476,ae72edfc-7b84-428c-a8ba-38b0a2c55b27,gnss,2021-05-15 11:30:30,0.785,LOW,2021-05-15
35217894,bb196d8d-5d5d-48bf-ba95-52da906e24e2,gnss,2021-05-15 11:35:30,0.772,LOW,2021-05-15
35218176,aacaf7fb-3f53-44b4-9f16-b4c877b0513c,gnss,2021-05-15 11:40:30,0.807,LOW,2021-05-15
35218458,fd9571e8-ed9a-4731-ad7c-943e6d2ca06c,gnss,2021-05-15 11:45:30,0.795,LOW,2021-05-15
